rank,name,mbid,listeners,playcount,url,image_url
37,Clairo,,2747944,314527249,https://www.last.fm/music/Clairo,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
38,Olivia Rodrigo,,2909433,514644963,https://www.last.fm/music/Olivia+Rodrigo,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
39,Mitski,,3050879,602257829,https://www.last.fm/music/Mitski,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
40,Childish Gambino,,3599474,302225953,https://www.last.fm/music/Childish+Gambino,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
41,Katy Perry,,6883245,415376486,https://www.last.fm/music/Katy+Perry,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
42,Bruno Mars,,4940246,263345447,https://www.last.fm/music/Bruno+Mars,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
43,Future,,3055959,422816792,https://www.last.fm/music/Future,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
44,Mac DeMarco,,3064723,316464038,https://www.last.fm/music/Mac+DeMarco,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
45,A$AP Rocky,,3205212,314360628,https://www.last.fm/music/A$AP+Rocky,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
46,Lorde,,3562916,411857193,https://www.last.fm/music/Lorde,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
47,TV Girl,,2631451,259574385,https://www.last.fm/music/TV+Girl,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
48,Nirvana,,7296864,551883482,https://www.last.fm/music/Nirvana,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
49,Beyoncé,,6191950,661434257,https://www.last.fm/music/Beyonc%C3%A9,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
50,beabadoobee,,2426167,284286645,https://www.last.fm/music/beabadoobee,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
51,Tate McRae,,2078771,224246996,https://www.last.fm/music/Tate+McRae,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
52,Don Toliver,,2277999,217258505,https://www.last.fm/music/Don+Toliver,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
53,sombr,,1484346,57815442,https://www.last.fm/music/sombr,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
54,The Beatles,,6306225,1049405280,https://www.last.fm/music/The+Beatles,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
55,KATSEYE,,1249467,71473758,https://www.last.fm/music/KATSEYE,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
56,Laufey,,2052870,216448995,https://www.last.fm/music/Laufey,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
57,Maroon 5,,6390899,268943856,https://www.last.fm/music/Maroon+5,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
58,Mac Miller,,3344437,400088939,https://www.last.fm/music/Mac+Miller,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
59,Kali Uchis,,2879932,287414417,https://www.last.fm/music/Kali+Uchis,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
60,Britney Spears,,6192961,471349766,https://www.last.fm/music/Britney+Spears,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
61,Lil Uzi Vert,,2557965,391738695,https://www.last.fm/music/Lil+Uzi+Vert,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
62,Steve Lacy,,2937986,267382395,https://www.last.fm/music/Steve+Lacy,https://lastfm.freetls.fastly.net/i/u/300x300/2a96cbd8b46e442fc41c2b86b821562f.png
